Quote_ID,Category,Author,Quotes
1,DS,Monica Rogati,"By definition all scientists are data scientists. In my opinion, they are half hacker, half analyst, they use data to build products and find insights. It’s Columbus meet Columbo―starry-eyed explorers and skeptical detectives."
2,DS,Jennifer Shin,"‘Possessed’ is probably the right word. I often tell people, ‘I don’t want to necessarily be a data scientist. You just kind of are a data scientist. You just can’t help but look at that data set and go, ‘I feel like I need to look deeper. I feel like that’s not the right fit.’"
3,DS,Bob Hayes,"I think of data science as more like a practice than a job. Think of the scientific method, where you have to have a problem statement, generate a hypothesis, collect data, analyze data and then communicate the results and take action…. If you just use the scientific method as a way to approach data-intensive projects, I think you’re more apt to be successful with your outcome."
4,DS,Bill Schmarzo,"As a data scientist, I can predict what is likely to happen, but I cannot explain why it is going to happen. I can predict when someone is likely to attrite, or respond to a promotion, or commit fraud, or pick the pink button over the blue button, but I cannot tell you why that’s going to happen. And I believe that the inability to explain why something is going to happen is why I struggle to call ‘data science’ a science."
5,DS,John Foreman,"Data scientists are kind of like the new Renaissance folks, because data science is inherently multidisciplinary."
6,DS,Josh Wills,Data Scientist (n.): Person who is better at statistics than any software engineer and better at software engineering than any statistician.
7,DS,Daniel Tunkelang,"As data scientists, our job is to extract signal from noise."
8,DS,Hilary Mason,"The job of the data scientist is to ask the right questions. If I ask a question like ‘how many clicks did this link get?’ which is something we look at all the time, that’s not a data science question. It’s an analytics question. If I ask a question like, ‘based on the previous history of links on this publisher’s site, can I predict how many people from France will read this in the next three hours?’ that’s more of a data science question."
9,DS,Chris Pehura,"A data scientist does model-driven analyses of our data; analyzes to improve our planning, increase our productivity, and develop our deeper levels of subject matter expertise. A data scientist works at the tactical, operational, and strategic levels, sharing insights with the business."
10,DS,Peter Skomoroch,"[Data scientists are] able to think of ways to use data to solve problems that otherwise would have been unsolved, or solved using only intuition."
11,DS,Carla Gentry,"What sort of personality makes for an effective data scientist? Definitely curiosity…. The biggest question in data science is ‘Why?’ Why is this happening? If you notice that there’s a pattern, ask, Why? Is there something wrong with the data or is this an actual pattern going on? Can we conclude anything from this pattern? A natural curiosity will definitely give you a good foundation."
12,DS,Brendan Tierney,"There is a saying, ‘A jack of all trades and a master of none.’ When it comes to being a data scientist you need to be a bit like this, but perhaps a better saying would be, ‘A jack of all trades and a master of some.’"
